DIGITAL COLLECTIONS SUMMARY REPORT

GEOGRAPHICAL SUBJECTS:
"Montana","1"
"Pennsylvania","27"
"District of Columbia","164"
"West Yorkshire","1"
"Indiana","6"
"North Carolina","1"
"Washington","4"
"Baltimore","1"
"London","2"
"Missouri","1"
"Honshu","1"
"Arizona","1"
"Maryland","288"
"Louisiana","3"
"Prince George's County","5"
"Adams County","1"
"Illinois","5"
"New York","39"
"New Jersey","74"
"Alabama","1"
"Colorado","2"
"Washington, D.C.","6"
"England","7"
"Orange County","1"
"Charles County","1"
"West Virginia","1"
"Virginia","11"
"Baltimore County","2"
"Anne Arundel County","2"
"Montgomery County","12"
"Massachusetts","11"
"Washington (D.C.)","3"
"Florida","2"
"Hong Kong","2"
"South Carolina","1"
"California","6"
"Wisconsin","2"
"Ohio","14"
"Howard County (Md.)","1"
TOTAL = 713

TOPICAL SUBJECTS:
"","3"
"Claiborne-Annapolis Ferry Company History Sources","1"
"Airports Maryland Baltimore History Sources","1"
"Civil Rights Maryland","1"
"Smallwood Foundation Archives","1"
"American Association of University Women - Maryland Division - Archives","1"
"Fidelity and Deposit Company of Maryland History Sources","1"
"Librarians Maryland","1"
"Feminist theater Archival resources","1"
"Hagerstown Shoe &amp;amp; Legging Co","1"
"Vice-Presidents United States Election 1972 History Sources","1"
"Wetlands Maryland","1"
"Electioneering Maryland","1"
"Collecting of accounts Pennsylvania Bedford County History Sources","1"
"League of Women Voters of Maryland History Sources","1"
"Tanneries Maryland Williamsport","1"
"Social service Maryland Prince Georges County","1"
"War -- Press coverage -- United States","1"
"Prince George's County Council of Parent-Teacher Associations (Prince George's County, Md.) Archives","1"
"Government and the press -- United States","1"
"Women college graduates - Maryland - Societies, etc. - History - Sources","1"
"Publishers and publishing United States Archives","1"
"Campaign literature Maryland","1"
"Democratic National Convention (1940 : Chicago, Ill.) History Sources","1"
"Montgomery County (Md.). County Council History Sources","1"
"Birth control United States History Sources","1"
"Presidents United States Election 1968 History Sources","1"
"Teachers Salaries, etc. Maryland Prince George's County","1"
"Eastern Shore (Md. and Va.) Social life and customs Sources","1"
"Women Maryland Montgomery County Societies and clubs History Sources","1"
"Women postal service employees Maryland Oxford History Sources","1"
"Slavery Maryland Charles County History Sources","1"
"Agricultural exhibitions Maryland Charles County","1"
"Diplomatic and consular service, American History Sources","1"
"Slavery Maryland Baltimore County","1"
"American Association of University Women. Maryland State Division Archives","1"
"Maryland National Guard History Sources","1"
"National Library Week","1"
"Public health Maryland Prince George's County History Sources","1"
"Export controls -- United States -- Posters","1"
"Acquittals Maryland","1"
"Agriculture Maryland Societies and clubs History Sources","1"
"Postmasters Maryland Oxford History Sources","1"
"Capital punishment Maryland","1"
"Agriculture, Cooperative Maryland History Sources","1"
"American Association of University Women. Metropolitan Area Mass Media Committee Archives","1"
"Plantation life Maryland Charles County History Sources","1"
"Civic leaders Maryland History Sources","1"
"Maryland Library Association History Sources","1"
"Sex instruction Maryland Prince George's County","1"
"Maryland Library Association Archives","1"
"Press and politics -- United States","1"
"Democratic National Committee (U.S.). Commission on Party Structure and Delegate Selection History Sources","1"
"Lawyers Maryland Baltimore History Sources","1"
"Housing Maryland Prince George's County History Sources","1"
"Busing for school integration Maryland Prince George's County History Sources","1"
"Student publications","1"
"Fairs Maryland Charles County Photographs","1"
"Ku Klux Klan (1915- ). Mt. Rainier Klan #51 (Mt. Rainier, Md.) Archives","1"
"Fairs Maryland Charles County","1"
"Women in politics Maryland Prince George's County Archival resources","1"
"Collecting of accounts Maryland Baltimore History Sources","1"
"Campaign speeches, 1968 Republican","1"
"Public service employment Maryland History Sources","1"
"Judicial process United States Law and legislation History Sources","1"
"National Rifle Association of America History Sources","1"
"Maryland History Civil War, 1861-1865 Sources","1"
"Slot Machines Maryland","1"
"Libraries Maryland History Sources","1"
"Church of England Maryland History Sources","1"
"International Women's Year History Sources","1"
"Maryland. Emergency Relief Administration History Sources","1"
"School Integration Maryland Prince George's County","1"
"Maryland. General Assembly History Sources","1"
"Presidents United States Election History Sources","1"
"Librarians Maryland Censorship","1"
"Local transit Maryland Prince George's County History Sources","1"
"Daily record (Baltimore, Md.)","1"
"Maryland Industries","1"
"Television broadcasting Washington Metropolitan Area History Sources","1"
"School integration Maryland Prince Georges County History Sources","1"
"Young Democratic Clubs of Maryland History Sources","1"
"Lawyers Maryland Baltimore Archives","1"
"Feminism Archival resources","2"
"Maryland Politics and government Archival resources","1"
"Public health Maryland Prince George's County","1"
"Governors Maryland History Sources","1"
"Maryland History Civil War, 1861-1865","1"
"Prince George's County Community Council (Prince George's County, Md.) Archives","1"
"United States Army History Sources","1"
"Education Maryland Prince Georges County","1"
